classe,imagem,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25
corduroy,0,0.0035141506859080116,0.005597680694798282,0.006103310806891041,0.00993449713886568,0.011583681890585668,0.010028473268928645,0.01260136417377321,0.00770111908659483,0.009345380259746598,0.009837524047935104,0.009607614335662614,0.010412512397249732,0.01526052473787831,0.018817275081833087,0.022053992818853625,0.025487011492702723,0.023501524917910032,0.017843476868492716,0.013379289587551824,0.006971787252598205,0.0053005534316379315,0.004762170818634846,0.002797877038548837,0.0024189755574293694,0.001740377989548741
corduroy,1,0.003221507621904487,0.006451608408109346,0.00576949696080681,0.008164435076088987,0.010833193210564111,0.009206298185588196,0.012009759976663753,0.009808748677349441,0.011254955004333742,0.014692452972166509,0.01619230851410719,0.020859790215312184,0.03601952552727192,0.046072598767972484,0.0508863965099676,0.06089185897549044,0.05672789025275051,0.03889962905399944,0.01604645696868465,0.007615169303916532,0.00647297519501838,0.0051315125734251055,0.005602046380791445,0.006804392639792203,0.003245661381019047
corduroy,2,0.006873750000821197,0.013802246489271988,0.020398760276736927,0.03492847809363095,0.03713695140460874,0.034604159900913235,0.038005887656265634,0.024637452334970545,0.02397720969415765,0.020535188523909873,0.016168389684623002,0.011789765604008145,0.012038314657846497,0.010561473407550592,0.009272741088749968,0.011993641523940748,0.013650708211513273,0.010990028912715047,0.007142664748057759,0.005712467505222267,0.006110145991363632,0.007091203049685941,0.003249751505692649,0.003221283332125261,0.001498082887496187
corduroy,3,0.016023083894914022,0.031004926290607988,0.026219950552126812,0.03247430498609664,0.03447762206287649,0.02638222836038991,0.040791659216602646,0.05812652983211152,0.08131375970306613,0.07839966459297988,0.030967932869271415,0.014394386864869197,0.013159546460654413,0.010944627013829374,0.010875079381716618,0.006110573336375015,0.00411810766318723,0.0036127775277296523,0.0033903237540923972,0.004798786615780161,0.005042943196601537,0.005191410127565648,0.0021202162882034145,0.004944787318655166,0.0027934965565290307
corduroy,4,0.018693057809719638,0.03790104273995378,0.029019427342880794,0.030639166449815663,0.03460540889074069,0.03289115784396455,0.06089226290664577,0.1139931821042018,0.13421798514583166,0.11323031782585435,0.03917407093760357,0.020515358315571608,0.016254298789093975,0.01306420745095031,0.007974350913556923,0.002925106933867213,0.003127166943183032,0.005746927609870757,0.006166841400942712,0.004872754840039168,0.0041808371902728415,0.008521116273752705,0.0032647983887343773,0.002077257118102822,0.0013194067357681816
corduroy,5,0.03401392431354976,0.07331607950095967,0.06604622035448063,0.07854243657362472,0.07080654478986137,0.04363040466090969,0.03834175712845564,0.024775978298753797,0.021300212308386524,0.022813307992157653,0.01850880805851053,0.01761403372809652,0.010079388045189958,0.010883539131429329,0.006704245105251086,0.005993008885452844,0.005788221186547844,0.004080337610125471,0.0038488837612104597,0.003949923470232764,0.005165316588657761,0.0034580580001262475,0.002038085512093203,0.003369934707515042,0.0047732408517918296
corduroy,6,0.003119997365152583,0.005738376985994572,0.0058716361275716845,0.008932262753224871,0.010400930170476361,0.008919911905956748,0.01096235201734839,0.009424346510170597,0.01450357827880326,0.024603537802693264,0.024921842971761195,0.028065675305325947,0.033595821340010594,0.0319291070034071,0.02745224989100919,0.019450417631982887,0.016613406346342025,0.008361740282050015,0.005994494555659852,0.004084446859721243,0.0033728647118525666,0.004132550159607616,0.0016151441322208037,0.003584562567658808,0.0026055954105118277
corduroy,7,0.003182813188366979,0.007044844784478045,0.005741210432206388,0.008262835460467615,0.010207729804402654,0.007873049975338891,0.009291271296154173,0.012836350117991365,0.020018556920661453,0.031399913502259354,0.036539008559385584,0.04044326889338643,0.04806057404038159,0.044858307163773245,0.04199387019028317,0.03228315839643722,0.026056317478498337,0.018730105934822078,0.014746607407252761,0.008448119978961548,0.004665801056619959,0.003617437052491033,0.0022241259422287143,0.0020141684532823233,0.0011313980393054654
corduroy,8,0.0063161241495951655,0.01338459795730692,0.018230027294990563,0.032148070913843425,0.035035690915207855,0.02907406372316593,0.032891281861423566,0.02282594858221407,0.02540157725642733,0.01933071059425209,0.018726918114390728,0.019643977090315325,0.02731433062452035,0.02372345496815372,0.026424262723901065,0.02754046057825935,0.018545419072573902,0.008886014563704145,0.007503731463028921,0.006617489069145822,0.006127186622457977,0.007514145342477428,0.004864556871364573,0.005206727196101214,0.0029496782217514486
corduroy,9,0.014273972985406742,0.022932636362763405,0.018373825542609572,0.021400374848650712,0.02143245609670292,0.01717787153358841,0.01753425709868541,0.010410910592398796,0.01096262076298374,0.01519756374565812,0.011915892133677978,0.026447169822850402,0.031203051166753527,0.025720867826130984,0.026032295995998354,0.02217970911255848,0.01817348142212026,0.011707909620795284,0.006366490939993663,0.004917815262642849,0.0033497624241725873,0.0017042344628551524,0.0017395893076473838,0.00404136429544778,0.003996188660435484
corduroy,10,0.0152982189401036,0.024895121996880022,0.018476254075034428,0.019713723277525574,0.020683650785337956,0.013152435020425825,0.01637383608106632,0.010581759817701972,0.01262469777148906,0.02204031704046278,0.032645537113056865,0.059194488593695166,0.06744207153576753,0.055365727600847695,0.05005968146661191,0.035348679815626095,0.020866356406770488,0.010421329589803368,0.007070304696577149,0.005983549858847467,0.007047792330771584,0.002951963587788629,0.003600082750717256,0.008656360110647092,0.00571340146918069
corduroy,11,0.032997854777885145,0.06772591117158928,0.06255831432434268,0.06994191027756413,0.06430801795938759,0.043858288248609115,0.04476874768550474,0.02345676577636662,0.021586982292604792,0.01606287100400339,0.01658460479924972,0.013316154026509599,0.010840274080063458,0.011645554087426018,0.013418703970304341,0.0068232963671463285,0.007829732033490883,0.010188599864581484,0.007032778730966358,0.008017959387592772,0.005760107633616222,0.007870269938623421,0.005601242870258982,0.004690345185740298,0.00348034349848695
corduroy,12,0.026745331381168382,0.03741530265491222,0.02830318003466071,0.03113945438945866,0.03179202523390723,0.02409606893951106,0.02427300761142866,0.0164285805007452,0.024083805863239546,0.03839897655869174,0.03898672828570515,0.04857973868260399,0.03878197870867179,0.019095799589800098,0.014365974868577049,0.01037127777313046,0.008853503101025412,0.005954599463840787,0.008393418757338685,0.00449835915659817,0.003947834625409007,0.0032466494428840652,0.0032267219439428506,0.005083702065058248,0.0025259747284276063
corduroy,13,0.031403777670298956,0.04347621227794483,0.03071121338811311,0.03163527787770248,0.0355916508460515,0.02623762248426401,0.02995453473621885,0.024942426156597412,0.030766936951047603,0.07507599058852689,0.12985418929315845,0.1327386904833621,0.0557838046241521,0.0169375964942779,0.008442012210129898,0.00739531285230631,0.0037760781971555597,0.00201121183904109,0.0038769830273342365,0.00818706077353772,0.007545486778670311,0.006279335551374974,0.004796314241307554,0.008021396126975713,0.013619570287421707
corduroy,14,0.07048566103544733,0.10818845057512234,0.07986804661712647,0.08583458546440743,0.07981137898941722,0.05233493336470961,0.04327114097240351,0.02080545462685773,0.017324937584501272,0.01963554928991353,0.013985873322762585,0.018075459218665883,0.01373476219386774,0.01224691253351663,0.008560056113928752,0.0061034495661357714,0.010963239363843155,0.005805620087679095,0.0034675397230337253,0.004930516188016268,0.005700720089820353,0.005183573914809522,0.005431440713873684,0.0018657059412979613,0.0028325162308414213
corduroy,15,0.013533674316494552,0.021830184564501698,0.01952952199508322,0.023777294151159308,0.024632284566492038,0.01500288813408133,0.0187909558065192,0.015514812307667285,0.020767599480114463,0.03445878892694316,0.03638471101644984,0.03563865429859005,0.030911274252461228,0.022159767853516064,0.016325073562348063,0.013719439443029923,0.012720416850095461,0.0082564894200554,0.004707690654837052,0.0035107040733712326,0.002627249646714536,0.0038377191809127616,0.0015980509214742133,0.002549134126915676,0.002384984527776702
corduroy,16,0.013861254697480915,0.02133472328706548,0.016945433412230558,0.018269168551548667,0.016007071381653328,0.009904136648433473,0.016178746267145702,0.023102091162468193,0.03563674549305672,0.059703940810128774,0.06330338295032006,0.053466579149882204,0.036375257900327806,0.03537529347690352,0.02869095631506902,0.024908139610123708,0.018317877420311456,0.011265836053110814,0.005216863105873263,0.0035399886680249435,0.005518428308066404,0.0029390071843193736,0.0041340458517593335,0.0021035545774517575,0.0015720548624225165
corduroy,17,0.034395997186317355,0.06844247228490764,0.06425914844722276,0.07225598305424615,0.06420384557847597,0.04699510470146,0.046783839785599926,0.023162552239328536,0.020395817352528336,0.022386720627413034,0.020378112477282058,0.01980320135973442,0.01560416195862868,0.013190728852023846,0.012247795046772699,0.012036132268547549,0.008799322997399571,0.01032870592878582,0.008367045537734858,0.006545034836828687,0.0026867645514181407,0.004123047689374528,0.005421869380194093,0.004473962295379386,0.002100713287648124
corduroy,18,0.028576677142332287,0.03582897641710236,0.02794769720523028,0.025710957428904255,0.02503599749640025,0.016638598336140165,0.01926055807394419,0.015185058481494151,0.015356658464334153,0.02395975760402424,0.020483757951624205,0.018130638186936183,0.013705338629466136,0.011546478845352115,0.004656739534326047,0.0067161593283840675,0.00601215939878406,0.003618779638122036,0.0029521797047820297,0.00400553959944604,0.0014295598570440143,0.0040176395982360405,0.004596899540310046,0.0028604397139560286,0.006613419338658066
corduroy,19,0.03478122453440276,0.04335049452259504,0.030276471748184295,0.028739804851857044,0.02529204511167444,0.015114359092539753,0.018980259484784195,0.02558117986937856,0.05032940455345667,0.12100372762888116,0.09048254856727432,0.06515985564644307,0.029826020227554043,0.02038435678801457,0.010043928526458088,0.007117894281689003,0.006205349824547232,0.009654772624141446,0.00578863465198106,0.008063462347147022,0.002805106067553473,0.0023665335427204325,0.007515127901147748,0.004524471919241835,0.005676496931655385
cotton,0,0.005134934228749413,0.021634628973267536,0.023749512439160885,0.02067293288336414,0.009181865845868593,0.005838364395905054,0.006404182282745716,0.005125571647418612,0.005549537594473746,0.003639041045556554,0.003556544338358743,0.0037273672845263735,0.003368409449353028,0.0036526432863579063,0.0017958490907343655,0.0018834687197924263,0.0015764467131333345,0.0008807892550070378,0.0011968205380410513,0.0016029445848242802,0.0022321807112452726,0.0026091570991684616,0.0011146771357991192,0.0006862948767954957,0.0010387165702850747
cotton,1,0.008117976781664173,0.040235841019893616,0.04699665339591999,0.03467646888721116,0.012258832705747374,0.006708839192625904,0.009941727510461068,0.01207516807267805,0.008231106380118577,0.006012867466037674,0.0075015279334368105,0.008317858611057705,0.006524197620018976,0.007274487184897921,0.0033868539889613646,0.005824122747372814,0.002528710299131071,0.002451727463567971,0.003295607836149264,0.002193620037733313,0.0013337178567353338,0.002010541568386549,0.0009523206612552031,0.0015134747316542477,0.0018640006377461302
cotton,2,0.009797398045381937,0.029371641259820173,0.03709023443915054,0.04115753008970738,0.019286305322068514,0.013113525590998947,0.018100167209506336,0.015229878981106965,0.01266076944040249,0.010352325706174104,0.010531372878780124,0.007411090529689124,0.009117769759960192,0.005976736910732732,0.006355384132270407,0.006509135457091029,0.005697296842228414,0.003916508682898564,0.004795737017251966,0.005454812426348076,0.005486036988458177,0.004142392698669735,0.0040825126839902385,0.004224999451593925,0.001928610769825769
cotton,3,0.017974451459787277,0.06443741893149962,0.051829938651854104,0.029716658662789008,0.015554981961273437,0.010347071323194545,0.014115911200282648,0.008617948985500879,0.007955467929875861,0.007830172157611505,0.005552880816261276,0.003656155042941261,0.003795485568917048,0.0039763101493440174,0.00373507510728959,0.00414228636714875,0.0034372942459340405,0.0024644213908359565,0.0028411223165398353,0.0014964301892027181,0.0012452284379908985,0.0015196180431607323,0.002254917096303022,0.0020161228809810173,0.0019286599230692095
