filename,split,classe,simbologia,payload,params
images/train/sem_defeito/qr_000.png,train,sem_defeito,qr,CBBRPOIG,{}
images/train/sem_defeito/code39_001.png,train,sem_defeito,code39,6B9M80O,{}
images/train/sem_defeito/code39_002.png,train,sem_defeito,code39,VRJNVGFYG,{}
images/train/sem_defeito/code128_003.png,train,sem_defeito,code128,CBF9SXMECOS,{}
images/train/sem_defeito/datamatrix_004.png,train,sem_defeito,datamatrix,CBKXWNREK8,{}
images/train/sem_defeito/qr_005.png,train,sem_defeito,qr,CBOUDOCUZREN,{}
images/train/sem_defeito/qr_006.png,train,sem_defeito,qr,CBJQIP98Q1Z,{}
images/train/sem_defeito/datamatrix_007.png,train,sem_defeito,datamatrix,CBJK1EYY,{}
images/train/sem_defeito/code128_008.png,train,sem_defeito,code128,CB8RVHS1,{}
images/train/sem_defeito/itf_009.png,train,sem_defeito,itf,814893,{}
images/train/sem_defeito/itf_010.png,train,sem_defeito,itf,957015,{}
images/train/sem_defeito/code128_011.png,train,sem_defeito,code128,CB5E8II4,{}
images/train/sem_defeito/code39_012.png,train,sem_defeito,code39,MTZX272HPO,{}
images/train/sem_defeito/code128_013.png,train,sem_defeito,code128,CBDOECVE,{}
images/train/sem_defeito/qr_014.png,train,sem_defeito,qr,CB4P40MGG1W1,{}
images/train/sem_defeito/qr_015.png,train,sem_defeito,qr,CBDZVGPM,{}
images/train/sem_defeito/code128_016.png,train,sem_defeito,code128,CB9GD8AFPK0,{}
images/train/sem_defeito/ean8_017.png,train,sem_defeito,ean8,4746872,{}
images/train/sem_defeito/code128_018.png,train,sem_defeito,code128,CBDD467KD6,{}
images/train/sem_defeito/code39_019.png,train,sem_defeito,code39,HPCF07UQN,{}
images/train/sem_defeito/ean8_020.png,train,sem_defeito,ean8,5107991,{}
images/train/sem_defeito/code128_021.png,train,sem_defeito,code128,CBXSK28T7,{}
images/train/sem_defeito/code39_022.png,train,sem_defeito,code39,HG9JRSNV,{}
images/train/sem_defeito/datamatrix_023.png,train,sem_defeito,datamatrix,CBF1RCAV,{}
images/train/sem_defeito/itf_024.png,train,sem_defeito,itf,6801128059,{}
images/train/sem_defeito/datamatrix_025.png,train,sem_defeito,datamatrix,CBWNPGW9,{}
images/train/sem_defeito/datamatrix_026.png,train,sem_defeito,datamatrix,CBL0BLV0P,{}
images/train/sem_defeito/datamatrix_027.png,train,sem_defeito,datamatrix,CBOM3WTOOBM,{}
images/train/sem_defeito/ean13_028.png,train,sem_defeito,ean13,868501429401,{}
images/train/sem_defeito/code128_029.png,train,sem_defeito,code128,CBMQC1A78MX,{}
images/train/sem_defeito/qr_030.png,train,sem_defeito,qr,CBT6T0UZ,{}
images/train/sem_defeito/ean8_031.png,train,sem_defeito,ean8,2994680,{}
images/train/sem_defeito/ean13_032.png,train,sem_defeito,ean13,777387214895,{}
images/train/sem_defeito/code39_033.png,train,sem_defeito,code39,CP4E30,{}
images/train/sem_defeito/code39_034.png,train,sem_defeito,code39,G1OL73,{}
images/train/sem_defeito/qr_035.png,train,sem_defeito,qr,CB9U26192K42,{}
images/train/sem_defeito/itf_036.png,train,sem_defeito,itf,34714345,{}
images/train/sem_defeito/qr_037.png,train,sem_defeito,qr,CBE00V830,{}
images/train/sem_defeito/qr_038.png,train,sem_defeito,qr,CBY4AWTY,{}
images/train/sem_defeito/itf_039.png,train,sem_defeito,itf,3734670656,{}
images/train/sem_defeito/itf_040.png,train,sem_defeito,itf,699016,{}
images/train/sem_defeito/ean13_041.png,train,sem_defeito,ean13,564641708053,{}
images/train/sem_defeito/code39_042.png,train,sem_defeito,code39,BJPI4HN,{}
images/train/sem_defeito/qr_043.png,train,sem_defeito,qr,CBKTGBTY,{}
images/train/sem_defeito/qr_044.png,train,sem_defeito,qr,CBGTHCW81,{}
images/train/sem_defeito/ean8_045.png,train,sem_defeito,ean8,1657262,{}
images/train/sem_defeito/itf_046.png,train,sem_defeito,itf,76945314,{}
images/train/sem_defeito/ean8_047.png,train,sem_defeito,ean8,5075273,{}
images/train/sem_defeito/ean13_048.png,train,sem_defeito,ean13,808313678377,{}
images/train/sem_defeito/qr_049.png,train,sem_defeito,qr,CBX497W19VW3,{}
images/train/sem_defeito/itf_050.png,train,sem_defeito,itf,2337498941,{}
images/train/sem_defeito/code39_051.png,train,sem_defeito,code39,CD9SI5GA,{}
images/train/sem_defeito/datamatrix_052.png,train,sem_defeito,datamatrix,CBHEZ5EDJJT,{}
images/train/sem_defeito/itf_053.png,train,sem_defeito,itf,867749,{}
images/train/sem_defeito/qr_054.png,train,sem_defeito,qr,CBNNQFKP,{}
images/train/sem_defeito/ean13_055.png,train,sem_defeito,ean13,034471349361,{}
images/train/sem_defeito/code128_056.png,train,sem_defeito,code128,CBKTS2H3,{}
images/train/sem_defeito/ean8_057.png,train,sem_defeito,ean8,7190659,{}
images/train/sem_defeito/itf_058.png,train,sem_defeito,itf,0490278742,{}
images/train/sem_defeito/ean8_059.png,train,sem_defeito,ean8,5655125,{}
images/train/sem_defeito/code128_060.png,train,sem_defeito,code128,CBFUQUHZ6A8,{}
images/train/sem_defeito/ean8_061.png,train,sem_defeito,ean8,7034824,{}
images/val/sem_defeito/itf_062.png,val,sem_defeito,itf,248086,{}
images/val/sem_defeito/datamatrix_063.png,val,sem_defeito,datamatrix,CB5S6R044,{}
images/val/sem_defeito/itf_064.png,val,sem_defeito,itf,2146584044,{}
images/val/sem_defeito/ean8_065.png,val,sem_defeito,ean8,8755886,{}
images/val/sem_defeito/itf_066.png,val,sem_defeito,itf,36057662,{}
images/val/sem_defeito/datamatrix_067.png,val,sem_defeito,datamatrix,CB2G73AJ,{}
images/val/sem_defeito/ean13_068.png,val,sem_defeito,ean13,961586578091,{}
images/val/sem_defeito/code128_069.png,val,sem_defeito,code128,CB2KTBCU,{}
images/val/sem_defeito/itf_070.png,val,sem_defeito,itf,2221969379,{}
images/val/sem_defeito/datamatrix_071.png,val,sem_defeito,datamatrix,CBS8KE2WT1Q,{}
images/val/sem_defeito/code128_072.png,val,sem_defeito,code128,CBYWSSBZR,{}
images/val/sem_defeito/itf_073.png,val,sem_defeito,itf,7439533942,{}
images/val/sem_defeito/itf_074.png,val,sem_defeito,itf,21456232,{}
images/test/sem_defeito/ean13_075.png,test,sem_defeito,ean13,247451712368,{}
images/test/sem_defeito/ean8_076.png,test,sem_defeito,ean8,5496513,{}
images/test/sem_defeito/qr_077.png,test,sem_defeito,qr,CB3T0HIC,{}
images/test/sem_defeito/code39_078.png,test,sem_defeito,code39,3X80J0G50,{}
images/test/sem_defeito/code39_079.png,test,sem_defeito,code39,GX8WDZRM,{}
images/test/sem_defeito/qr_080.png,test,sem_defeito,qr,CBBDVPINE9NN,{}
images/test/sem_defeito/itf_081.png,test,sem_defeito,itf,422842,{}
images/test/sem_defeito/itf_082.png,test,sem_defeito,itf,02402681,{}
images/test/sem_defeito/code128_083.png,test,sem_defeito,code128,CB6OC7T3BD4,{}
images/test/sem_defeito/ean8_084.png,test,sem_defeito,ean8,1159212,{}
images/test/sem_defeito/itf_085.png,test,sem_defeito,itf,78961183,{}
images/test/sem_defeito/ean8_086.png,test,sem_defeito,ean8,6156545,{}
images/test/sem_defeito/ean8_087.png,test,sem_defeito,ean8,1528098,{}
images/test/sem_defeito/datamatrix_088.png,test,sem_defeito,datamatrix,CBDSTWG6NJ4,{}
images/test/sem_defeito/itf_089.png,test,sem_defeito,itf,689980,{}
